TRANSCRIPTION,EMOTION
" No.  Nobody in my house better dare and challenge her faith.  You know and maybe strangers but not his father, not his brother.",ang
 I want-I want you to act like he's still alive.  I mean don't think I haven't seen the way that you've been since he invited her here.,xxx
 But I won't have any of this nonsense because you know what happens?  If he doesn't come back I'll kill myself.,xxx
" Laugh, laugh at me but I will.  Because you know what happened when she came here?  When she came back she slept in his room, the memorial broke into pieces. Joe, look. Look at it. You got to believe with me.",ang
 I can't do it all alone.,xxx
" Look, it was just last week that Detroit, some boy came back he had been away longer than Larry, you can read it for yourself. You above all people have got to believe.",sad
" Look, just keep believing okay?",xxx
 I can't help it.,sad
 Why does that bother you?,fru
" Well maybe, maybe he just wanted to see her.",neu
 uh-uh What do you mean?  They grew up next to each other their entire lives.  Why shouldn't he want to see her?,fru
 Hey don't look at me like that.  I don't know anymore than you.,fru
 Who said he even thought about that?,neu
" Well, so what?",neu
 Now listen kid...,fru
 You can't read her mind.,xxx
 How do you know why she's waited?  Hmmm?,neu
 Look at how nice the day is.  What are we arguing for?,fru
 What do you want me to do?  What do you want?,fru
 But Kate...,fru
 Okay. Calm yourself. Just calm yourself.,fru
" Calm yourself, alright?",xxx
" Alright, alright, calm yourself okay?  Calm yourself. Wait, wait.  What do you mean, me above all?",ang
" Wait, what does that mean?  Me above all?",ang
" Look at you, you're shaking.",ang
 What do I got to hide?  Huh?  What the hell's the matter with you Kate?,ang
 You're the only one I know that still loves his parents.,xxx
" No.  It's alright.  It's a good thing, you know?",xxx
 It's lovely here.,xxx
 The air is so sweet.,xxx
 No.  I'm not sorry.  But I'm not going to stay.,sad
 First of all your mother so much as told me to go.,xxx
" Look,",sad
" you saw the way that she acted and then well, I mean, you, you were acting kind of...",sad
" Well, I don't know, embarrassed of her since I came.",sad
" Yeah.  I know they would, especially your mother.",xxx
" Well what other reason, from her point of view, would I be coming here?",xxx
" Well,",hap
 I guess that's why I came.,hap
" Look, I've been ready for a long, long time now.",hap
" Look, I almost got married two years ago.",hap
 You started to write me.,hap
 Every day since.,hap
" I was waiting for you Chris, I mean, till then you never wrote and then when you did what did you say?",hap
 You'd always be so ambiguous.,hap
 I'll never forgive you for that.,hap
" I mean,  Why did you wait all these years?  There I was sitting around and wondering if I was crazy for thinking about you.",hap
 Not like that you're not.,hap
 Like Larry's brother.  Do it like you Chris.,xxx
 What is it?,xxx
" No, what is it?  Your mother?",xxx
" Tell me what's wrong.  I mean, even in your letters you seemed ashamed.",xxx
 You got to tell me.,xxx
 Okay.  It wouldn't work like this?,xxx
" Yeah, sure.",xxx
 How many?,sad
 Geez.,sad
 And you still feel that way?,sad
 Cause you must not feel that way again.  You hear me?  You can't.  You deserve everything you have Chris.,xxx
" that includes me too, I mean and the money, you have right to that money.  Your father put planes up in the air, good planes and he deserves it, you should be proud of that.  A man should be paid for that.",sad
 What am I going to do with a fortune?,hap
 I know.  It sort of went out of style didn't it?,xxx
 You're not sorry you came?,neu
 Why?,sur
 Well...,xxx
 What?,neu
 Well the trouble is I was planning on sneaking up on you over a week or so and they take it for granted that we're all set.,xxx
 How did you know?,xxx
" So, would you want to?",xxx
" I mean, that's the reason why I asked you here.",hap
 Oh Annie.  I love you.  I love you a great deal.,xxx
 I love you.,hap
 I don't...I have no imagination that's the only way I know how to tell it.,xxx
 I'm embarrassing you.  I didn't want to tell you this here.  I wanted to drive someplace brand new where we'd be brand new to each other.  It feels wrong here don't you?,xxx
" This yard and this chair.  I don't want to win you from anything, I want you to be ready for me.",xxx
" Then he's gone forever, you sure?",xxx
 Why didn't you?,xxx
 You felt something that far back.,hap
 Why didn't you let me know?,xxx
" Give me a kiss Ann, just give me...",hap
" Oh God.  Annie, I kissed Annie.  I kissed Annie.",exc
" How long, how long I've been waiting to do that.",xxx
 We're going to live now.  I'm going to make you so happy.,hap
 I kissed you.,xxx
" Nothing.  Hey, let's drive somewhere.  I want to be alone with you.",sad
" No, nothing, nothing like that.",xxx
" Well, yes I guess I've been ashamed but, it's going from me.",xxx
 I don't know where to start.,xxx
 You remember overseas I was in command of a company?,sad
 Well I lost them.,sad
 Just about all.,sad
 Takes a little while to toss that off cause they weren't just men.,sad
" For instance, one time this...it had been raining several days and this one kid, he came up to me, he gave me his last pair of dry socks, put them in my pocket.",sad
" That's just a little thing but that's the kind of guys I had.  They didn't just die, they killed themselves for each other and I mean that exactly.",sad
 A little more selfish and they'd still be here today.  And I got this idea watching them go down.  See everything was being destroyed but there was one new thing that was being created.,sad
" It was a kind of responsibility, man for man.  You understand me?",sad
 And to show that and to bring that onto the earth again like some sort of monument standing right behind all of us and we could feel it and it would make a difference to him.,sad
 And then I came here and it was incredible.  There was no meaning in it here.  The whole thing to them was a kind of bus accident.,sad
" And I went to work with dad and that rat race again and I felt what you said, ashamed.  Somehow because nobody was changed at all.",sad
" It seemed to make a sucker out of a lot of guys.  I felt wrong to be alive.  I felt wrong to have that new checkbook,",sad
" open that new bank account, drive the new car and see the new refrigerator",sad
" cause you can take those things out of the war.  But you got to know, when you drive that car that it came out of the love that a man can have for a man and you got to be a little bit better because of that.",sad
 Otherwise what you have is loot and there's blood on it.,sad
 And I didn't want to take any of it and I guess that included you.,sad
 I want you now Annie.,xxx
 [GARBAGE] Annie,xxx
 Annie I'm going to make a fortune for you.,hap
 Buy some hats?,hap
 Fine.,xxx
 What flashlight?,xxx
 It's not your flashlight.,xxx
 It's ours.  Mine too.,xxx
" Well, you keep saying it's my flashlight like it's only your flashlight.  I mean, how do you think that makes me feel?",xxx
 Yes.,neu
" Look, I'm cold.",xxx
" It's past eleven, let's go.",fru
 There is no point in coming down here.,fru
 That's my point.,fru
 So let's go.,xxx
 Not particularly.,xxx
 I don't know.  I just don't.,xxx
" Pass up what?  These fish swim up to shore, on the beach and then they flop around a little, they swim away and then they die.",fru
" What are you getting so excited about?  I mean, it's not like it's like the landing on the moon or something.  I mean, it's just fish, fish that nobody eats.",xxx
 Augie.,fru
 I'm just not.,neu
 Yes.,xxx
" You also could remember that I got sand in my panties, we got in an argument over nothing, you got a sore throat and we didn't even get to see the Grunions.",fru
 You didn't see them the first time either.,fru
 That's the wind.,xxx
 About what?,xxx
 It's ridiculous.,xxx
" Hey, what time is it?  This pokes around midnight right?  God this is great isn't it?",exc
 Look at the night we got.  I wouldn't trade this for anything.,exc
 You know actually I wanted to go a little further up the coast and get away from all the lights and people but I was afraid you'd miss it.  How are you doing?,exc
" Is that, is that, nah, is that just Paul?  I can't even tell.",exc
" But if I can't tell, it probably isn't them isn't it?  Probably would be unmistakable wouldn't you think?  How are you doing?",exc
" Oh, you know what I forgot?  I forgot my flashlight.  How could I be so stupid?  I should've brought my flashlight.",exc
" You know, the flashlight, the silver one?  There's only one isn't there?",xxx
" Well, whose is it?",xxx
" Well, sure.",xxx
" No.  Of course, our flashlight.  Yours and mine.  Me flashlight is su flashlight, naturally.",xxx
 How could we have not thought to bring it?  I hope the moon stays out.,xxx
 Was it a full moon last year when they were running?  I can't remember.  Do you remember?,xxx
 Are you cold?  Do you want my jacket?,xxx
" We should've brought the blanket, our blanket.",xxx
" God.  Oh, you know what would be good right about now?  A six-pack.  A six-pack would be just the ticket.",exc
" I'm so stupid, I should've brought a six-pack.  God, I'm like a little kid.  It's amazing I get out of the house with my fly zipped up. Oh- [LAUGHTER]",exc
 I wonder if they can hear us talk?  Or feel the vibrations in the sand when we move around?,exc
 Do you want my jacket?,neu
 What?  Are you kidding me?  We just got here.  We miss it.  What's the point of coming down here if we just turn around and go home?,xxx
 Right.,xxx
 That's my point too...No.  No.  That's not my point.  My point is what's the point if we come down here if we just turn around and leave?,fru
" I mean, don't you want to see it?",xxx
 Why not?,xxx
" Honey, this is a natural phenomenon.  It only happens once a year.  I mean think about the people in Kansas, they would have to get hotel reservations and plane tickets to come and see this.  We're only forty minutes away.  This is too good to pass up.",exc
" Well this is like the highlight, the one night of their lives and that flopping around, that's laying eggs or spawning or mating or whatever you call it.",exc
" But this is the big night for these guys.  Their last, life's last orgy.",exc
 Yeah they do.,exc
" Okay.  But it's fish that do something that no other fish do.  Like the swallows in Capistrano or the Lemmings that throw themselves off the cliffs, there's magic here and some mystery and a little bit of unexplainable.",exc
" I mean, I can't see how you can not be interested.",xxx
 For real?,xxx
" I don't get it.  I mean the first time we came to see it, you said it was the best night of your life.",xxx
 And last year when we came you ran out of the house so fast you stubbed your toe and you didn't even notice it until we got in the car.,xxx
 Okay.  We're in a good spot.,xxx
" We just weren't in the good spot.  This is a much better spot.  You know, I have a good instincts for these things.",fru
" Look, is that...no is that just seaweed?",exc
" You know, this is great isn't it?  You know, I wouldn't trade this for anything.",exc
" I mean, think about this, I know you're not interested but just think about this for a minute.",exc
" Somewhere out there, there's this huge silver mass of fish heading this way, they don't why, we don't know why, they just some little instinctual fire cracker went off in their bodies...",exc
" ...like and they all just turned at once and formed a line as long as the California coast and started swimming this way.  They didn't, you know, they didn't make a decision, they didn't, you know, have boats or anything.  No one sent them an invitation or a map, they just started swimming as if that's the only thing that matters.",exc
" It's single mindedness with no mind.  It's urgency that's pure urge and they don't, they don't ask it a question, they don't give it a name, they just swim.",exc
 They just start swimming to this place right here where we stand for massive celebration of sex and death.,exc
" Oh, I'm giving myself goose bumps.  Look, all my hairs are standing up.",exc
 [BREATHING] So what do you think?,exc
 About what I just said?,exc
 It certainly is not.  It's,fru
 About what?,ang
 It's ridiculous.,ang
" It's PR.  I mean, somebody sold you a good bill about this wonderful event that going to happen on the beach.",ang
" Yeah.  Everyone else was sold the same thing.  I mean, look, it keeps us excited, it keeps us coming back for more and you know, keeps us thinking life's going to start any minute now.",ang
" Look, I'm sorry but it's still just fish to me.",ang
 It's just...,xxx
" Look, we just have different ideas of what this night is supposed to be like.",xxx
" For heavens sake, grow up.  We're not going to see the Grunions.",fru
" We never do, do we?  Have we ever?",fru
 Okay.  Twice is as many times as we've tried and that's ever.,ang
 What?,xxx
" Augie, god dammit, don't ask me that.  You always ask me that.  I hate it when you ask me that.  It's insulting.",ang
" Look, it's pointless.  It's...we're not going to see the Grunions I mean, it's like waiting around to see Santa Claus, you know, it's...",fru
" Listen, I've waiting my entire life on this beach just standing there waiting for this fish to show up and these fish never show up.",ang
" God, you don't understand anything.",fru
" I do.  I always do.  I keep thinking, this time will be the time and it never is.",fru
" No we won't.  I mean, God, this isn't about the fish Augie.",ang
" Look, do you remember the first time we came here?",fru
 We thought I was pregnant.,sad
 We brought a bottle of champagne and we took off our shoes and danced barefoot in the sand...,xxx
 Under the moon and you whispered so softly into my ear so I could feel your words.,xxx
" And I thought, this is it.  This is how happy I'm supposed to be.",xxx
 What?  Dancing barefoot in the sand?  Drinking out of a bottle of champagne?,xxx
 I'd rather not remember something...,sad
 Rather not hope for something.,sad
 No.,sad
 No.,fru
 No.,fru
 No.,fru
 No...No...No...,fru
 No...,fru
 I want things to turn out the way that they're supposed to be.,ang
" This what...what's this?  This isn't anything. Alright.  Sure.  Standing on the beach, fighting and waiting.",fru
 Cause everything isn't anything like I thought it would be.,ang
 This is just this.  You know?  I mean it's a lot and everything but it isn't somewhere else.  Do you know what I'm trying to say?,sad
 I know you are Augie.  I know you wanted this evening to be nice.,sad
 I can't help thinking about being somewhere else.,sad
 I didn't say that.,sad
" Augie, whatever I'm doing I'd rather be doing with you.",sad
 Yeah.  Don't you know that?,xxx
 If anybody wants to be with anybody else it's probably you.  Probably somebody who enjoys herself a little more and is not so hard.,sad
" Well, I guess this is the wrong spot for the right people.",sad
 Yeah.  I noticed that.  It's real pretty on the water.,hap
 Big old white moon.,xxx
 Oh you brought refreshments.,hap
 Well at least we won't need glasses.,xxx
 No I'm beginning to think you might be right.,hap
 I think this may be the place for us after all.,hap
 I am sorry Augie.,hap
 Or not.,hap
 So what do you think?,exc
 About what I just said?,fru
 It certainly is not.  It's a slightly exaggerated scientific fact.,fru
 I'm not the only one.  Look at all these people.,fru
 Are we talking about the same thing?,fru
 I thought you wanted to see it.,fru
" There's nothing to it.  The Grunions arrive, they do their little fish business, you know?  We go oh, ahh, look at the fish and they go home and we go home.",fru
 Why not?,fru
" Oh my gosh.  We missed them twice, that's hardly ever.",fru
" Carla, can I ask you something?",fru
" Don't take this wrong but, are you having your period?",fru
 What's bugging you then?,fru
 I thought you wanted to see it.,fru
" No, of course not.",fru
" Well, we're going to see it.",neu
" What...I've been trying to, I've been trying to figure out the point where we went wrong and I can't seem to pinpoint that moment.",fru
" You were fine during the phone call with Marge, dinner was okay, doing the dishes was no problem.",xxx
" Let's see I took a shower, you were watching the news, you said hey, hey the Grunions are running tonight and I said great let's go, I feel lucky tonight.",neu
" And then I'm putting the animals out in the yard, I'm pulling the car out of the garage, putting my jacket on.",fru
 Wait a minute.  I've got it.,neu
 It was in the car right?  Driving past the Knickerbocker Liquor Locker...,neu
 And you said let's get some champagne and I said time's a wasting or something like that.,neu
 You want this to be like the other time right?  That's it right?,neu
" Okay, right.  I got it.  Sure.  Of course.  Listen, do you want to dance?",xxx
 Do you want me to get some champagne?,fru
 Take off our shoes?,fru
 What?  Do you want me to breathe in your ear?,fru
 Do you want to get married again? What? What?  Do you want a divorce? A vacation? What?  A carpet?  A poodle?  A basket of fruit?  What?  A suicide pact?  What the hell do you want Carla?,xxx
 Welcome to the human race.,ang
 Do you think that this is what I had in mind?  That four years down the line that we'd get married and come to the beach and argue with each other over fish?  No.,ang
 I was just like you.  I thought it was going to be all peaches and roses and everything great and the sand in our toes and the wind in our hair and the fish will always come and the bills will pay themselves and we'd have three big fat rosy kids...,ang
 ...and you know?  Baby the jokes on us.  Because you know what you get?  Do you know what you get Carla?  You get this.,ang
 Yes it is.,ang
 Right.,ang
 No.  I know.  Me neither.,xxx
 I'm trying to do the best I can.,fru
 Maybe if you were with someone else too.,sad
 I know.  But I know I don't make you happy.,sad
 Yeah?,xxx
" Actually, now that you mention it, no I don't.",xxx
 It seemed like a good spot to me.,xxx
 I mean look at the view of the moon we got from here.,hap
" Hey, look what we got here.",hap
 It's not champagne.,xxx
 Are you still cold?  Do you want to go home?,xxx
 Shh.  If we're very quiet the fish might come.,hap
 Or not.,hap
 Do you think it's them?,xxx
 And nobody knows we're here except for Freda and she wouldn't ring up.,xxx
 What are you going to do?,xxx
 Now and always sweet.,exc
" I mean, it was, it's bound to come out sooner or later.",exc
 That sent shivers up my spine.,exc
 Behave exquisitely.,exc
 Certainly.  And I shall probably do a court courtesy.,xxx
 What is so horrible is that one cannot stay happy.,xxx
" It's true.  I mean, the whole business it's a very poor joke.",xxx
 Yes.  I mean just that.,xxx
 Don't laugh at me.  I'm serious.,xxx
 Who's they?,xxx
 So if I'm to laugh at everything then I must laugh at us too.,xxx
 How long will it last?  This ludicrous overbearing love of ours?,xxx
 Shall we always want to bicker and fight?,xxx
" Well, dear, shall we want that?",xxx
" What happens if one of us dies?  I mean, does the other one still laugh?",xxx
 That's serious enough.,sad
 Darling I believe you're talking nonsense.,xxx
" Elliot, worms don't pop.",xxx
 Thank you dear.  The same applies to you...,xxx
 ...only if you ever so much as look at another woman I'll kill you.,xxx
 Which particular one?,xxx
" Charles, that was his name, Charles.  Oh, God he was so wiggled so beautifully.",xxx
 Yeah.  I know you did.  You threw it out the window and into the Grand Canal.  I don't think I'll ever forgive you for that.,xxx
 It went on intermittently for days.,xxx
 I burnt a hole in my comb too and all the towels in the bathroom.,xxx
 [LAUGHTER] Yeah.  That was the first time you ever hit me.,xxx
" The manager came in and saw us rolling on the floor, scratching and biting like panthers.",xxx
" How ridiculous.  How utterly, utterly ridiculous.",xxx
 And much sillier too.,xxx
 Good God.,xxx
 I wonder.,xxx
 Well it must be them then.,xxx
 We're fine right?  Aren't we?  Whatever happens darling.,xxx
 I don't care then.,exc
 Hello?  Hello?  What?,xxx
" No, wrong number.",exc
 What are we to do if they suddenly walk in on us?,xxx
 With the most perfect poise?,xxx
 um- Things that should matter dreadfully don't seem to matter at all when one's happy do they?,xxx
" Oh, darling.  Don't say that.",xxx
" You mean that, that sacred and beautiful thing love?",xxx
 What does that all mean?  That's what I asked myself on my quest for ultimate truth.  What does it all mean?,xxx
" [LAUGHTER] Oh, darling.  You mustn't be serious, that's just what they want.",xxx
 All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.,xxx
 Laugh at all their sacred shibboleths.  Flippancy brings the acid in their damn sweetness and light.,xxx
" Oh, certainly, you must.  We're figures of fun alright.",xxx
 Who knows?,xxx
 No.  That fire will fade along with our passion.,xxx
" Well, it depends on how well we've played.",xxx
" Of course, yes, yes, with all his might.",xxx
" No.  No it isn't.  That's very laughable, a cunning little mystery all done with mirrors.",xxx
" Oh, and who isn't talking nonsense?",xxx
 Let's be superficial and pity the poor philosophers hmmm?  Let's blow trumpets and squeakers and party as much as we can like quite idiotic school children.,xxx
 Let's savor the delight of the moment.  Come kiss me darling before worms pop in and out of your eye sockets.,xxx
" I don't care what you do, you see?  As long, no I don't care what you do, see?",xxx
 You can put green paint all over your body and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word as long as you love me best.,xxx
 Remember that awful scene we had in Venice?,xxx
 The one when you bought a little painted wooden snake in the Piazza and put it in my bed.,xxx
 Horrible little thing.,xxx
 I hated it.,xxx
 How long did that rile last?,xxx
" Oh, the worst one was in Cannes when you-",xxx
 you're curling iron burnt a hole in my dressing gown.,xxx
 That was a rouser wasn't it?,xxx
 I didn't hit you very hard.,neu
 I will never forget his face. Ooh-rah [LAUGHTER].,xxx
 We were very much younger then.,xxx
 The real cause of that rile was Peter Burden.,xxx
" Oh, come on, you knew there was nothing in that.",neu
 Presents?  A trivial little broach.,ang
 Not at all.  It was very pretty.  I still have it and I wear it often.,xxx
 No I didn't.  You made up the whole thing in your jealous imagination.,neu
 Just a little perhaps but nothing serious.,neu
 Well what of it?,xxx
" Well it didn't harm him, in fact, it pleasured him a lot and it didn't hurt me.",neu
" Well, if you hadn't been so suspicious and nosey you would've never known anything.",xxx
" Look, I'm bored with this conversation.",xxx
 No thanks.,xxx
 I don't know why you want it.  You've already had two glasses.,ang
 I don't see what you have to go on and on with this kind of thing.,ang
 It's become a habit with you.,neu
 Don't be so stupid.,xxx
 What?,ang
 [BREATHING],xxx
" No, just making myself beautiful for you.",neu
 That's the woman's job to lure the man.  Watch me a moment won't you?,neu
 No it isn't.,xxx
" Oh, be quiet.",xxx
 I think you should have some more brandy...,xxx
 ...cause really,xxx
 it doesn't seem to be working on you.,xxx
 Well it really hasn't worked wonders with you.,xxx
" Adders don't snap, they sting.",ang
 They sting.,ang
 I don't care.  I don't care.  Do you understand?  I don't care if they roll around and bark like hoops.,xxx
" Yes, I did.  Quite a lot.",xxx
 Mind your business.,ang
 You're quite insufferable.  I expect it's because you're drunk.,ang
 You've always had a weak head.,ang
" On the contrary, a child of two can get violently drunk off just one glass of brandy.",ang
 Shut up.,ang
" Not very funny dear.  In fact, maybe you better have some more brandy.",ang
 Why?,xxx
 There aren't any people upstairs.  This is a photographer's studio.,xxx
 They are away in Tunis.,neu
" Turn it on again, please.",fru
 Very well.  If you insist on being a boorish and idiotic.,ang
 You are far too temperamental.  Try to control yourself.,ang
 Go away.  Go away.  I hate you.,ang
" I hate you.  Listen I'm sick and tired of listening to you, you sadistic bully.",ang
" This is the end.  Understand?  This is the end, here and now, forever and always.",ang
" Oh, yes I am. Yes I am and you can't stop me.",ang
" Listen, you're a cruel fiend and I hate, loathe you.  Thank God finally, finally thank God I've realized just how horrible you are--and marry you?  Marry you?  Never. I will never marry you.  I will die die in torment-",ang
 Beast. Brute. Cad. Swine. Beast. Beast. Brute. Devil. Sorry.,ang
 Yes.  The real cause of that rile was Peter Burden.,neu
 I knew nothing of the sort.  You took presents from him.,xxx
 Mmm Hmm.  I remember it well.  Bristling with diamonds in the worst possible taste.,xxx
 You went out of your way to torture me over Peter Burden.,ang
 You must admit he was in love with you.,ang
 You let him kiss you. You said so.  What of it?,ang
 And what about me?,ang
" Oh, that's a nice point of view I must say.",ang
" Yeah, so am I.  Bored stiff.",ang
 You want some brandy?,neu
 I'll have a little I think.,neu
 No particular reason.  Anyhow they were very small ones.,ang
 Oh my...just because I just...okay...,ang
 ...having three small minute liquor glasses in the evening is hardly going on and on and on.,xxx
 You needn't be so grand just because you don't happen to want any yourself at the moment.,ang
 Really Amanda.,fru
 Nothing.,fru
 Going out somewhere dear?,fru
 That reply has broken my heart.,xxx
 Actually that's perfectly true.,neu
 Yes it is.,neu
 I think that,neu
" perhaps maybe you should've had more brandy, it might've made you a little less disagreeable.",xxx
" Hmm, snap, snap, snap like a little adder.",xxx
 Yes they do.  They have a bag of venom behind their fangs and they snap.,xxx
 They snap.,fru
 Did you see much of Peter Burden after our divorce?,xxx
 I suppose you let him kiss you a great deal more then?,xxx
" Mmm, you must've had a riotous time.  No restraint at all, very enjoyable.  You never had much anyhow.",xxx
 I'm not in the least bit drunk.,ang
" Okay, like I mentioned before I had three very small, minute liquor glasses of brandy.  That's not even enough to get a child of two drunk.",ang
" Oh, what an interesting topic.  What about a child of four and a child of six?  A child of nine?",ang
 We might be able to bring up a splendid little debate about this intemperate tots.,ang
" Oh, thanks.  I think I will.",ang
 You better turn that off.,ang
 Because people upstairs will get annoyed.,xxx
 Well there are people downstairs I suppose.,xxx
" Oh, this is no time to be in here for Tunis.",xxx
 No I'll do no such thing.,ang
" Come on, turn it off.  It's driving me mad.",ang
 Turn it--Turn it off.,ang
 Very amusing indeed.,ang
" You know what?  You're a vile, little, evil-minded, little, wicked beast and I never want to see you again.",ang
 You're not going nowhere. No you're not.,ang
 Just shut up.,ang
 shut up. shut up.  I would-I would never marry you again if you came crawling back to me on your hands and knees because you're an evil-minded little vampire and I hope to God I never see you again.,ang
 Oh.,ang
" Hi.  Um, excuse me I've been to, like, five of the desks here and nobody seems to be able to tell me what it is I need to do.  I've been here for over an hour.  Can you possibly help me?",xxx
 Well I filled out all the forms and I've given them to everyone and they keep sending me to someone else.,fru
 Yes.  I'm just trying to get a new license.,fru
 Okay.  I did-,fru
 I did exactly what they told me to do.,ang
 I have done everything everyone in this entire place has told me to do.  I've been here for over an hour.  They make me wait in line.  Every single time I start over again.,fru
 I have a life.  I have things to do.  I have places to go.  Can you not just put this through please?,fru
" Okay, that's nice. That's nice but I have done everything you people have told me to do. I don't understand why you can't just help me get this done.  It's simple, right?  License.  I need it. Can we just do this please?",fru
 I've been to the back of the line five times.,ang
 Okay.  What is it that I did wrong on the form that I have to start all over again?,ang
" Okay.  Well, I can do that right here right now without going to the back of the line again.  See look initialed.  All done. Ready to go.",ang
 I have been waiting for over an hour.,fru
 I'm not starting over again.  No I have done this five times.  I am not starting over again.,ang
 Look can you not just help me?,fru
 I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.,ang
 No.  No.  No. No. You have to help me.,xxx
 This is your job is to help people like me who need to get a new license.,ang
 That's like the whole purpose of you being here.,xxx
 I- I- I'm testing your patience?,xxx
 I'm testing your patience?,ang
 Yeah.  You have to be here all day.,xxx
 I don't need to be.  I need to go and do other things with my time.  Okay.,ang
" Please just put the form in, take the picture, let me get my license and get the hell out of here.  Please.",ang
" Uh, lets- What do you need exactly?",fru
" You need a new license, is that what you're telling me?",fru
 Let me see the form. Just let me see the form. Yeah.  You filled this out wrong.  I can't - I can't - I can't do anything with this.,fru
 Ma'am I cannot help you.  You need to fill out a new form and you need to get in the back of the line.,fru
 Ma'am I can't help you.  Do you understand?,fru
 I've got a life too ma'am,ang
 and I got to - i got to work here all day long.  Okay.  I've got to deal with you people all day.,fru
 So what I need you to do is I need you to fill out this form correctly and go to the back of the line.,fru
 There's nothing I can do for you.  Do you understand that?  Nothing.,ang
" What I need you to do is go to the back of the line,",fru
 fill out this form and wait,fru
 You're going to have to go back again.,ang
 This whole area here you didn't initial,xxx
 and you filled out-,fru
 Ma'am I have other people waiting in line right now.  I have other people waiting in line right now.,ang
 This whole area of the form was not supposed to be filled out and you put the address in the wrong place,fru
" Uhh, and you spelled your own name wrong.  So I need you to take that",fru
" and, uh, throw it away. I need you to fill out a new form.",fru
 Ma'am you're going to have- you- look. You really- you really,fru
 I can't help you right now.  Do you understand that?,xxx
 Look I'm going on my lunch break right now.  So you're just going to have to take this form and go to the back of the line.,xxx
 like I said before right now.,ang
 Ma'am you are testing my patience.  Do you understand me?,fru
 You're testing my goddamn patience.,ang
" I work in this fucking building all day. And I'm sick of it, okay?",ang
 I've walked away already.  I'm not here anymore.,xxx
 Yeah.  They just called.,sad
 I know.,sad
 I don't know what to say.  I don't want to go but I don't have a lot of choice.,sad
 I'm going to come back.  I need you to believe that.,sad
 I need you to believe that too.  How am I supposed to believe everything's going to be okay if you don't?,xxx
 Well you have to have faith because I don't have a choice and I have to go.,sad
 Do you think I want to leave you?,sad
 I have to do this.  I don't want to leave.  Do you think I want to miss seeing her grow up?,sad
 Look we both knew what this meant when I signed on,fru
 And now- and now it's really shitty timing but now I have to go.,sad
 I mean I'm the one who has to leave here.  I'm the one who has to leave the two of you.  At least you get to be together.,fru
 What's that supposed to mean?,sad
 Well I'll come back.  What is that supposed to mean?  You're not willing to wait for me to come back?,ang
 What do you want me to do?,fru
 Well I can't very well do it today.  I still have to leave tomorrow.,fru
" You're not making this any easier for me, you know.  I'm the one who has to go and you're really not helping.",fru
 I do have to go. And I need to know that you're here waiting for me and that you believe that I'm coming back.,fru
 Thanks that helps.,ang
 I feel much better now.,ang
 I know I'm leaving you here with all the responsibility but at least you get to be with her.,fru
 I will but I can't right now.,fru
 You know- you know how this works.  I have to go.,xxx
 That's how you want to leave it?,ang
 I want you to be okay with it as much as you can be.  I mean it's not a great situation but we don't have an option here.,sad
 Fine.,sad
 So you're leaving tomorrow.,sad
 This is really-this is unfair.,sad
 I don't see [BREATHING],fru
" I mean we both knew that this was going to happen.  It's just that I feel that, you know, I don't want Susie growing up without a mother.",fru
" And, uh, I'm afraid that if you, you know, when you leave, you won't come back.",sad
 You don't know that.,fru
" I'll believe it, but- I'll believe it but it- I don't know that that's going to happen.",fru
 You do have a choice.  You don't have to go.,xxx
 You have a choice.,fru
 I know.  It's just you don't have to do this for a living you know.,fru
 You're a smart person.  There are other things you can do.,fru
 It's just not going to work out without you here.,xxx
 I mean we can't-we're not a complete family without you here.,sad
 Of course I'm going to wait.  I just- I just don't like the idea of this happening because this isn't the last time this is going to happen. You're going to go on more tours and stuff.  I just- I can't-,fru
 I can't deal with this emotionally.,fru
 I want you to leave.  I want you to leave the service.,fru
 You can do it today.  You don't have to do anything.  You don't have to do anything you don't want to do.,fru
 Look I'm just telling you that you don't have to go.,fru
 That's all I'm saying... No you don't.,ang
 It's just really unfair.  This is- this is bullshit.,fru
" You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not.",ang
 Yeah.  Of course I do because I didn't enlist in this stupid thing.  Why don't you just get out now and then-,ang
 Yes- You don't have to go.  What are they going to do?  Huh?  Put a gun to your head?,xxx
 Then go.  We'll be here when you get back.,fru
" I don't know how else to leave it.  What, do you want me to lie to you?",sad
 You want me tell you that I'm okay with it?,sad
 Well I can't be okay with it the same way you can't not go.  It just doesn't work that way.,sad
 I have something to tell you.,exc
 It's really exciting.  Don't you want to guess?,exc
 Look.,exc
 Yes.  He finally proposed.  I'm getting married.,exc
 I know. I'm so-,exc
 Thank you. [LAUGHTER],exc
 You think. [LAUGHTER],exc
" Well actually we were just talking about today and I don't really want to do like the traditional church thing, you know.  So we are going to get married in the meadow.",exc
 Do you remember up by Yosemite? Yeah.,xxx
 We're going to get married in the middle of a meadow. [LAUGHTER],exc
" Everybody's going to come up. We're going to stay in all the pretty cabins up there and, um, everybody's going to have, you know, really flowery sort of naturey stuff.",hap
 So pretty.,exc
 Very Midsummer Night's wedding.,hap
